Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
CON__P35908v2;CON__P35908;CON__Q6NXH9;CON__Q9R0H5;CON__P07744;CON__Q7RTS7;CON__Q32MB2;CON__O95678;CON__Q7Z794;CON__Q01546	CON__P35908v2;CON__P35908	14;14;2;1;1;1;1;1;1;1	12;12;1;0;1;1;1;1;0;1	9;9;0;0;0;0;0;0;0;0			;	10	14	12	9	33.2	30	25	65.432	639	639;645;539;524;525;529;540;551;578;638	0	65.099	NaN	NaN	NaN	0	0	Median	790650000	790650000	0			+	10	3267;3429;3992;4542;4835;5330;6923;10030;10031;10503;12987;13919;14301;14311	True;False;True;True;True;False;True;True;True;True;True;True;True;True	3297;3459;4024;4577;4876;5378;6981;10130;10131;10609;13117;14059;14445;14455	10165;10166;10167;10524;10525;12062;12063;13526;14568;14569;15910;20641;29870;29871;29872;29873;31313;38404;41542;42959;42960;42987;42988	18611;18612;18613;18614;19234;19235;22090;22091;24723;26741;26742;29054;29055;37435;53681;53682;53683;53684;56258;68738;74305;76914;76915;76916;76917;76918;76954;76955	18611;19235;22090;24723;26741;29054;37435;53681;53683;56258;68738;74305;76915;76955			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
CON__Q5D862	CON__Q5D862	2	2	2				1	2	2	2	3	3	3	248.07	2391	2391	0	6.7941	0.52627	0.80159	7.0894	2	0	Median	256790000	171150000	85643000			+	11	4070;11882	True;True	4102;11999	12227;12228;35101	22386;22387;22388;22389;22390;22391;62831;62832	22386;62831			-1
CON__Q5XQN5;CON__Q922U2;CON__Q8BGZ7	CON__Q5XQN5;CON__Q922U2	7;7;2	2;2;0	0;0;0			;	3	7	2	0	10.3	3.5	0	62.936	601	601;580;551	0	2.5502	NaN	NaN	NaN	0	0	Median	69967000	69967000	0			+	12	6923;8671;8672;10047;10423;12190;15643	False;False;False;False;True;False;True	6981;8746;8747;10147;10529;12314;15796	20641;25842;25843;29911;29912;29913;29914;31106;36076;36077;47117;47118	37435;46543;46544;53742;53743;53744;53745;55871;64542;64543;64544;64545;64546;64547;64548;84617;84618	37435;46543;46544;53744;55871;64543;84617			-1;-1;-1
CON__Q6KB66-1	CON__Q6KB66-1	1	1	1				1	1	1	1	3.1	3.1	3.1	50.525	452	452	0.0085586	1.2134	0.74481	1.1439	6.0384	2	0	Median	10437000	6037300	4399300			+	13	15230	True	15379	45862;45863	82281;82282	82282			-1
CON__Q86YZ3	CON__Q86YZ3	9	9	9				1	9	9	9	11.7	11.7	11.7	282.39	2850	2850	0	161.55	NaN	NaN	NaN	0	0	Median	466480000	466480000	0			+	14	4416;4417;4855;11037;11726;11885;11886;12699;12700	True;True;True;True;True;True;True;True;True	4450;4451;4896;11148;11842;12002;12003;12827;12828	13155;13156;13157;13158;13159;13160;13161;13162;14620;14621;32757;32758;32759;32760;34615;34616;34617;34618;35107;35108;37478;37479;37480;37481;37482	24088;24089;24090;24091;24092;24093;24094;24095;26829;26830;26831;58800;58801;58802;58803;61962;61963;61964;61965;61966;61967;62853;62854;67010;67011;67012;67013;67014;67015	24091;24092;26830;58803;61964;62853;62854;67010;67012			-1
O13297	O13297	6	6	6	mRNA-capping enzyme subunit beta	CET1	sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2	1	6	6	6	16.2	16.2	16.2	61.849	549	549	0	11.378	0.72028	1.0734	37.592	7	0	Leave out requantified	255650000	154950000	100700000				15	4136;5274;7572;14484;14927;15145	True;True;True;True;True;True	4168;5322;7635;14629;15076;15294	12385;12386;15755;15756;22388;22389;43555;44863;44864;45502	22675;22676;22677;28794;28795;28796;40411;40412;78020;80481;80482;81685;81686	22675;28795;40411;78020;80481;81686			-1
O13516	O13516	20	1	1	40S ribosomal protein S9-A	RPS9A	sp|O13516|RS9A_YEAST 40S ribosomal protein S9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS9A PE=1 SV=3	1	20	1	1	64.5	9.1	9.1	22.443	197	197	0	16.051	0.58734	0.87836	7.0846	4	0	Median	979950000	682060000	297890000				16	1737;4878;4879;6141;6503;6884;7359;7529;7530;7544;7620;8633;10821;11290;11305;11367;14329;14330;14513;14514	False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False	1756;4919;4920;6193;6557;6940;7422;7592;7593;7607;7683;8708;10929;11403;11418;11480;14473;14474;14658;14659	5506;5507;14682;14683;14684;14685;14686;14687;14688;14689;14690;14691;18261;18262;19457;19458;19459;19460;19461;19462;19463;19464;19465;20516;20517;21826;21827;22248;22249;22250;22251;22252;22253;22254;22255;22256;22257;22258;22259;22260;22295;22487;22488;25753;25754;32206;32207;33393;33394;33424;33425;33551;33552;43040;43041;43042;43043;43044;43045;43633;43634;43635;43636	10173;10174;10175;26918;26919;26920;26921;26922;26923;26924;26925;26926;26927;26928;26929;26930;26931;26932;26933;26934;26935;26936;26937;26938;26939;26940;26941;26942;26943;26944;26945;26946;33371;33372;33373;33374;33375;33376;33377;33378;35492;35493;35494;35495;35496;35497;35498;35499;35500;35501;35502;35503;35504;37219;37220;37221;37222;39397;39398;40168;40169;40170;40171;40172;40173;40174;40175;40176;40177;40178;40179;40180;40181;40182;40183;40184;40185;40186;40187;40188;40189;40190;40191;40192;40193;40243;40579;40580;40581;40582;40583;40584;40585;40586;40587;46395;46396;46397;46398;57786;57787;57788;57789;59859;59860;59861;59862;59918;59919;59920;60118;60119;60120;77055;77056;77057;77058;77059;77060;77061;77062;77063;78166;78167;78168;78169;78170;78171;78172	10175;26929;26944;33376;35496;37222;39398;40176;40180;40243;40580;46395;57789;59859;59919;60119;77058;77063;78166;78169			-1
O13563	O13563	3	3	3	26S proteasome regulatory subunit RPN13	RPN13	sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1	1	3	3	3	20.5	20.5	20.5	17.902	156	156	0	13.493	0.75952	1.1576	11.792	3	0	Median	1067600000	371450000	696170000				17	376;10352;15671	True;True;True	382;10458;15824	1373;1374;30907;30908;30909;47187;47188	2459;2460;2461;2462;55537;55538;55539;55540;84736;84737	2461;55538;84736			-1
O13585	O13585	2	2	2	Dilute domain-containing protein YPR089W		sp|O13585|YP089_YEAST Dilute domain-containing protein YPR089W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPR089W PE=1 SV=2	1	2	2	2	5.1	5.1	5.1	102.58	888	888	0	3.198	NaN	NaN	NaN	1	0	Median	19238000	11925000	7312700				18	113;10597	True;True	114;10704	476;477;31605	837;838;839;840;841;56785	839;56785			-1
O14455	O14455	8	8	2	60S ribosomal protein L36-B	RPL36B	sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3	1	8	8	2	57	57	10	11.135	100	100	0	31.303	0.55912	0.80299	11.907	29	0	Leave out requantified	23195000000	14714000000	8481100000				19	608;2351;7241;11295;11296;13297;14336;15218	True;True;True;True;True;True;True;True	618;2375;7301;7302;11408;11409;13428;14480;15367	2053;2054;2055;2056;2057;2058;7406;7407;7408;7409;21468;21469;21470;21471;33404;33405;33406;39340;39341;39342;39343;39344;39345;39346;39347;39348;39349;43057;43058;43059;43060;43061;45828;45829	3785;3786;3787;3788;3789;3790;3791;3792;3793;3794;3795;3796;3797;3798;13563;13564;13565;13566;13567;13568;13569;13570;13571;13572;38769;38770;38771;38772;38773;38774;38775;59879;59880;59881;59882;59883;59884;59885;59886;70443;70444;70445;70446;70447;70448;70449;70450;70451;70452;70453;70454;70455;70456;77079;77080;77081;77082;77083;77084;77085;77086;77087;77088;77089;77090;77091;82227;82228;82229	3788;13572;38774;59879;59885;70450;77090;82229			-1
O14467	O14467	11	11	11	Multiprotein-bridging factor 1	MBF1	sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2	1	11	11	11	68.2	68.2	68.2	16.403	151	151	0	28.836	0.69899	1.0206	9.3526	24	0	Leave out requantified	14337000000	7899200000	6437500000				20	513;4357;5906;6880;7594;8663;10756;11375;11657;14315;15738	True;True;True;True;True;True;True;True;True;True;True	523;4391;5957;6936;7657;8738;10863;11488;11772;14459;15891	1824;1825;13001;17589;17590;17591;17592;20510;20511;22432;25824;25825;25826;32029;32030;33573;33574;33575;33576;34411;34412;34413;42998;42999;43000;43001;47411	3398;3399;3400;3401;3402;3403;3404;23778;32122;32123;32124;32125;32126;32127;32128;32129;32130;32131;32132;37212;37213;37214;40477;46510;46511;46512;46513;46514;46515;46516;57521;57522;60154;60155;60156;60157;60158;60159;60160;60161;61576;61577;61578;76968;76969;76970;76971;76972;76973;76974;76975;76976;85161	3399;23778;32128;37212;40477;46511;57521;60159;61576;76973;85161			-1
O74700	O74700	2	2	2	Mitochondrial import inner membrane translocase subunit TIM9	TIM9	sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1	1	2	2	2	28.7	28.7	28.7	10.202	87	87	0	14.668	0.69797	1.0799	3.2623	4	0	Median	471930000	338300000	133640000				21	3580;8927	True;True	3610;9003	10891;10892;26601;26602;26603;26604	19882;19883;47870;47871;47872;47873;47874	19883;47873			-1
O94742	O94742	2	2	2	26S proteasome complex subunit SEM1	SEM1	sp|O94742|SEM1_YEAST 26S proteasome complex subunit SEM1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=SEM1 PE=1 SV=1	1	2	2	2	39.3	39.3	39.3	10.386	89	89	0	13.039	NaN	NaN	NaN	0	0	Median	10582000	10582000	0				22	12206;12752	True;True	12330;12880	36127;36128;36129;37649	64642;64643;64644;64645;67313	64643;67313			-1
P00044	P00044	2	2	2	Cytochrome c iso-1	CYC1	sp|P00044|CYC1_YEAST Cytochrome c isoform 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2	1	2	2	2	22.9	22.9	22.9	12.182	109	109	0	46.107	NaN	NaN	NaN	1	0	Median	239900000	140310000	99599000				23	5037;9195	True;True	5082;9272	15088;15089;27442	27621;27622;49352	27621;49352			-1
P00127	P00127	1	1	1	Cytochrome b-c1 complex subunit 6	QCR6	sp|P00127|QCR6_YEAST Cytochrome b-c1 complex subunit 6, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR6 PE=1 SV=2	1	1	1	1	8.2	8.2	8.2	17.257	147	147	0	3.3671	0.64537	0.97736	4.5687	4	0	Median	1128800000	667630000	461170000				24	796	True	806	2606;2607;2608;2609	4813;4814;4815;4816;4817;4818;4819	4818			-1
P00128	P00128	7	7	7	Cytochrome b-c1 complex subunit 7	QCR7	sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2	1	7	7	7	70.9	70.9	70.9	14.565	127	127	0	24.03	0.50016	0.76548	18.55	4	0	Leave out requantified	319240000	249770000	69471000				25	404;962;3127;7464;7755;10603;11301	True;True;True;True;True;True;True	410;976;3156;7527;7820;10710;11414	1459;3064;3065;3066;3067;3068;9724;9725;22069;23024;31615;31616;33413;33414;33415;33416	2621;5605;5606;5607;5608;5609;5610;5611;5612;5613;5614;5615;17763;17764;17765;39833;41506;56808;56809;59893;59894;59895;59896	2621;5611;17764;39833;41506;56808;59895			-1
