Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Ratio H/L	Ratio H/L normalized	Ratio H/L variability [%]	Ratio H/L count	Ratio H/L iso-count	Ratio H/L type	Intensity	Intensity L	Intensity H	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
CON__P35527	CON__P35527	14	14	14				1	14	14	14	39.8	39.8	39.8	62.129	623	623	0	312.29	NaN	NaN	NaN	0	0	Median	2311700000	2311700000	0			+	10	1536;2220;3800;3801;7101;9148;9895;10116;10315;11132;12255;13040;14388;14939	True;True;True;True;True;True;True;True;True;True;True;True;True;True	1551;2244;3831;3832;7162;9240;10001;10224;10423;11249;12385;13183;14548;15104	5062;5063;7154;7155;7156;7157;7158;7159;7160;11707;11708;11709;11710;11711;21404;21405;27827;30009;30634;30635;30636;30637;30638;30639;31126;33286;33287;33288;33289;36823;39535;39536;43872;43873;45671;45672	9343;9344;9345;13171;13172;13173;13174;13175;13176;13177;21449;21450;21451;21452;21453;21454;21455;38836;38837;50450;54448;54449;55626;55627;55628;55629;55630;55631;55632;55633;55634;56465;60098;60099;60100;60101;66476;71463;71464;79573;79574;82990;82991	9345;13172;21450;21453;38836;50450;54448;55628;56465;60100;66476;71463;79573;82991	5;6	276;286	-1
CON__P35908v2;CON__P35908;CON__Q6NXH9;CON__Q3TTY5	CON__P35908v2;CON__P35908	13;13;2;2	12;12;1;2	10;10;0;1			;	4	13	12	10	33.2	31.3	28	65.432	639	639;645;539;707	0	69.563	NaN	NaN	NaN	0	0	Median	897340000	897340000	0			+	11	3054;3214;3755;3799;4253;4545;6601;9603;9604;9633;12434;13332;13716	True;False;True;True;True;True;True;True;True;True;True;True;True	3083;3243;3786;3830;4287;4586;6659;9703;9704;9733;12567;13480;13870	9720;9721;9722;10098;10099;11594;11595;11705;11706;12982;12983;14001;14002;20073;29123;29124;29125;29207;37411;37412;40443;41800;41801;41802	17747;17748;17749;17750;17751;17752;18413;18414;21223;21224;21447;21448;23765;23766;25742;25743;25744;36611;52813;52814;52815;52969;67598;67599;72999;75546;75547;75548	17748;18413;21223;21447;23765;25744;36611;52813;52815;52969;67598;72999;75548			-1;-1;-1;-1
CON__Q0VCM5	CON__Q0VCM5	1	1	1				1	1	1	1	1.5	1.5	1.5	101.24	906	906	1	-2	NaN	NaN	NaN	0	0	Median	0	0	0	+		+	12	13112	True	13255	39807	71905	71905	7	138	-1
CON__Q5D862	CON__Q5D862	2	2	2				1	2	2	2	2.9	2.9	2.9	248.07	2391	2391	0	11.073	NaN	NaN	NaN	0	0	Median	18477000	18477000	0			+	13	4722;11379	True;True	4765;11499	14472;14473;34063	26543;26544;61494	26543;61494			-1
CON__Q6KB66-1	CON__Q6KB66-1	1	1	1				1	1	1	1	3.1	3.1	3.1	50.525	452	452	0.0092678	1.7347	NaN	NaN	NaN	1	0	Median	5392800	3506300	1886500			+	14	14609	True	14770	44555	80837;80838;80839;80840	80839			-1
CON__Q86YZ3	CON__Q86YZ3	10	10	10				1	10	10	10	11.9	11.9	11.9	282.39	2850	2850	0	68.096	NaN	NaN	NaN	0	0	Median	167060000	167060000	0			+	15	4136;4219;4565;4566;4568;10564;11225;11382;11383;12164	True;True;True;True;True;True;True;True;True;True	4169;4253;4606;4607;4609;10675;11343;11502;11503;12294	12639;12640;12878;14057;14058;14059;14060;14061;14062;14067;31780;31781;31782;33558;33559;33560;33561;33562;34071;34072;34073;34074;36502;36503	23138;23139;23561;25828;25829;25830;25831;25832;25833;25834;25845;57607;57608;57609;60598;60599;60600;60601;60602;60603;61514;61515;61516;61517;65845;65846	23138;23561;25828;25832;25845;57608;60599;61514;61517;65846			-1
O13297	O13297	3	3	3	mRNA-capping enzyme subunit beta	CET1	sp|O13297|CET1_YEAST mRNA-capping enzyme subunit beta OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CET1 PE=1 SV=2	1	3	3	3	10.6	10.6	10.6	61.849	549	549	0	5.2506	0.73806	1.0744	68.548	2	0	Median	63302000	44938000	18364000				16	4989;7252;14310	True;True;True	5036;7313;14470	15243;21821;43615	27892;39609;79089;79090;79091	27892;39609;79091			-1
O13516	O13516	20	1	1	40S ribosomal protein S9-A	RPS9A	sp|O13516|RS9A_YEAST 40S ribosomal protein S9-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPS9A PE=1 SV=3	1	20	1	1	65	9.1	9.1	22.443	197	197	0	46.564	0.49596	0.65345	18.79	4	0	Median	1043700000	676990000	366680000				17	1647;4591;4592;5838;6194;6567;7026;7201;7202;7216;7293;7294;8253;10372;10816;10833;10888;13739;13740;13914	False;False;False;False;True;False;False;False;False;False;False;False;False;False;False;False;False;False;False;False	1664;4632;4633;5891;6248;6624;7087;7262;7263;7277;7354;7355;8327;10481;10930;10947;11003;13893;13894;14069	5424;5425;5426;14131;14132;14133;14134;14135;14136;14137;14138;14139;14140;14141;14142;17710;17711;18937;18938;18939;18940;18941;19950;19951;21245;21246;21687;21688;21689;21690;21691;21692;21693;21694;21695;21696;21697;21698;21699;21729;21730;21909;21910;21911;25023;25024;31256;31257;32408;32409;32410;32411;32442;32443;32557;32558;41876;41877;41878;41879;41880;41881;42436;42437	10056;10057;10058;10059;10060;25944;25945;25946;25947;25948;25949;25950;25951;25952;25953;25954;25955;25956;25957;25958;25959;25960;25961;25962;25963;25964;25965;25966;25967;25968;25969;25970;25971;25972;25973;25974;25975;32398;32399;32400;32401;32402;32403;32404;32405;32406;32407;34639;34640;34641;34642;34643;34644;34645;34646;34647;34648;34649;34650;36395;36396;36397;36398;36399;36400;38570;38571;38572;38573;38574;38575;39372;39373;39374;39375;39376;39377;39378;39379;39380;39381;39382;39383;39384;39385;39386;39387;39388;39389;39390;39391;39392;39441;39442;39443;39444;39772;39773;39774;39775;39776;39777;39778;39779;39780;45420;45421;45422;56675;56676;56677;56678;56679;56680;58627;58628;58629;58630;58631;58632;58633;58691;58692;58693;58694;58865;58866;58867;58868;75670;75671;75672;75673;75674;75675;75676;75677;75678;75679;76753;76754;76755	10058;25947;25971;32400;34640;36396;38573;39374;39389;39442;39777;39780;45421;56680;58631;58692;58868;75670;75676;76755			-1
O13536	O13536	1	1	1	Putative uncharacterized protein YHR139C-A	YHR139C-A	sp|O13536|YH139_YEAST Uncharacterized protein YHR139C-A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YHR139C-A PE=4 SV=1	1	1	1	1	9.7	9.7	9.7	11.902	103	103	1	-2	NaN	NaN	NaN	0	0	Median	0	0	0	+			18	9106	True	9198	27689	50226	50226	8	1	-1
O13563	O13563	2	2	2	26S proteasome regulatory subunit RPN13	RPN13	sp|O13563|RPN13_YEAST 26S proteasome regulatory subunit RPN13 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPN13 PE=1 SV=1	1	2	2	2	15.4	15.4	15.4	17.902	156	156	0	21.702	0.62852	0.85464	0.41587	4	0	Leave out requantified	835630000	438500000	397130000				19	367;9920	True;True	371;10026	1407;1408;30082;30083;30084;30085	2585;2586;2587;2588;54575;54576;54577;54578;54579	2586;54575			-1
O13585	O13585	2	2	2	Dilute domain-containing protein YPR089W		sp|O13585|YP089_YEAST Dilute domain-containing protein YPR089W OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=YPR089W PE=1 SV=2	1	2	2	2	6.2	6.2	6.2	102.58	888	888	0.00055218	4.0536	NaN	NaN	NaN	0	0	Median	26273000	26273000	0				20	112;4113	True;True	113;4146	493;494;12578	898;899;900;901;23018;23019	900;23019			-1
O14455	O14455	7	7	1	60S ribosomal protein L36-B	RPL36B	sp|O14455|RL36B_YEAST 60S ribosomal protein L36-B OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=RPL36B PE=1 SV=3	1	7	7	1	57	57	10	11.135	100	100	0	59.416	0.87248	1.1158	12.322	20	0	Leave out requantified	16894000000	9184900000	7708900000				21	585;2202;6914;10822;10823;12726;13746	True;True;True;True;True;True;True	594;595;2226;6974;10936;10937;12864;13900	2064;2065;2066;2067;2068;2069;7086;7087;7088;7089;7090;7091;7092;20894;32420;32421;32422;38338;38339;38340;38341;38342;38343;38344;38345;38346;41897;41898;41899;41900	3872;3873;3874;3875;3876;3877;3878;3879;3880;3881;3882;3883;3884;3885;3886;3887;13018;13019;13020;13021;13022;13023;13024;13025;13026;13027;13028;13029;37955;58647;58648;58649;58650;58651;58652;58653;58654;58655;69271;69272;69273;69274;69275;69276;69277;69278;69279;69280;69281;69282;69283;69284;69285;75699;75700;75701;75702;75703;75704;75705;75706	3876;13027;37955;58647;58654;69273;75702	9	90	-1
O14467	O14467	11	11	11	Multiprotein-bridging factor 1	MBF1	sp|O14467|MBF1_YEAST Multiprotein-bridging factor 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=MBF1 PE=1 SV=2	1	11	11	11	68.9	68.9	68.9	16.403	151	151	0	34.438	0.6424	0.82417	20.43	27	0	Leave out requantified	19589000000	11978000000	7611000000				22	499;5609;6565;8283;10312;10896;10897;11160;11998;13729;15083	True;True;True;True;True;True;True;True;True;True;True	507;5659;6622;8357;10420;11011;11012;11278;12128;13883;15248	1840;1841;17086;17087;17088;17089;19947;25098;25099;25100;25101;31120;31121;32576;32577;32578;32579;32580;33364;36033;36034;41843;41844;41845;41846;46121;46122;46123	3495;3496;3497;3498;3499;31251;31252;31253;31254;31255;31256;31257;31258;31259;36392;45549;45550;45551;45552;45553;45554;45555;45556;45557;45558;56453;56454;56455;56456;58891;58892;58893;58894;58895;58896;58897;60240;65072;65073;65074;65075;75605;75606;75607;75608;75609;75610;75611;83759;83760;83761	3495;31257;36392;45558;56455;58891;58894;60240;65074;75605;83759			-1
O74700	O74700	2	2	2	Mitochondrial import inner membrane translocase subunit TIM9	TIM9	sp|O74700|TIM9_YEAST Mitochondrial import inner membrane translocase subunit TIM9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=TIM9 PE=1 SV=1	1	2	2	2	28.7	28.7	28.7	10.202	87	87	0	27.057	0.58378	0.82792	3.6522	4	0	Leave out requantified	584370000	316990000	267380000				23	3354;8542	True;True	3383;8618	10449;10450;25876;25877;25878	19096;19097;19098;19099;19100;46956;46957;46958	19099;46956			-1
P00044	P00044	1	1	1	Cytochrome c iso-1	CYC1	sp|P00044|CYC1_YEAST Cytochrome c isoform 1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=CYC1 PE=1 SV=2	1	1	1	1	15.6	15.6	15.6	12.182	109	109	0	116.48	0.77449	1.1661	7.0685	4	0	Median	667320000	363140000	304170000				24	4752	True	4796	14549;14550;14551;14552	26655;26656;26657;26658;26659;26660	26655			-1
P00127	P00127	1	1	1	Cytochrome b-c1 complex subunit 6	QCR6	sp|P00127|QCR6_YEAST Cytochrome b-c1 complex subunit 6, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR6 PE=1 SV=2	1	1	1	1	8.2	8.2	8.2	17.257	147	147	0	16.978	0.93328	1.2259	8.0049	4	0	Median	1101100000	585100000	516010000				25	766	True	776	2614;2615;2616;2617	4898;4899;4900;4901;4902;4903	4902			-1
P00128	P00128	6	6	6	Cytochrome b-c1 complex subunit 7	QCR7	sp|P00128|QCR7_YEAST Cytochrome b-c1 complex subunit 7, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) OX=559292 GN=QCR7 PE=1 SV=2	1	6	6	6	67.7	67.7	67.7	14.565	127	127	0	16.132	0.79494	1.1119	33.366	8	0	Leave out requantified	341200000	188850000	152350000				26	394;931;2923;7132;10164;10829	True;True;True;True;True;True	398;943;2952;7193;10272;10943	1482;1483;1484;3095;3096;3097;3098;3099;3100;3101;3102;9335;21491;30739;32431;32432	2734;2735;2736;5728;5729;5730;5731;5732;5733;5734;5735;5736;5737;17045;39009;55778;58664;58665;58666	2734;5731;17045;39009;55778;58666			-1
